2026-01-18 at 21:33:42 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 21:34:50 | INFO | Бот запущен...
2026-01-18 at 21:34:50 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 21:34:50 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 21:34:50 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 21:34:50 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 21:34:53 | INFO | Бот успешно запущен
2026-01-18 at 21:34:53 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 21:34:53 | INFO | Бот остановлен...
2026-01-18 at 21:34:53 | ERROR | Бот остановлен!
2026-01-18 at 21:36:29 | INFO | Бот запущен...
2026-01-18 at 21:36:29 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 21:36:29 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 21:36:29 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 21:36:29 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 21:36:33 | INFO | Бот успешно запущен
2026-01-18 at 21:36:34 | SUCCESS | Вебхук установлен: https://6n3fuu-176-115-143-70.ru.tuna.am/webhook
2026-01-18 at 21:40:54 | INFO | Бот остановлен...
2026-01-18 at 21:40:55 | ERROR | Бот остановлен!
2026-01-18 at 21:41:07 | INFO | Бот запущен...
2026-01-18 at 21:41:07 | INFO | Добавление нескольких записей Table. Количество: 10
2026-01-18 at 21:41:07 | INFO | Успешно добавлено 10 записей.
2026-01-18 at 21:41:07 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2026-01-18 at 21:41:07 | INFO | Успешно добавлено 9 записей.
2026-01-18 at 21:41:09 | INFO | Бот успешно запущен
2026-01-18 at 21:41:09 | SUCCESS | Вебхук установлен: https://s1ag43-2a03-d000-15f8-5e5a-22a2-103b-b7c5-a6a2.ru.tuna.am/webhook
2026-01-18 at 21:42:05 | INFO | Получен запрос с вебхука.
